draw_date,category,market,round,field,result,digits,payout,is_placeholder,source_url,scraped_at
16 April 2026,baac,หวย ธกส.,,2ตัวล่าง,85,85,90,0,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,baac,หวย ธกส.,,3ตัวบน,159,159,450,0,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,baac,หวย ธกส.,,เลขที่ออก,2785159,2785159,N/A,0,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,foreign_stock,จีนรอบบ่าย,,2ตัวล่าง,xx,,90,1,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,foreign_stock,จีนรอบบ่าย,,3ตัวบน,xxx,,750,1,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,foreign_stock,จีนรอบเช้า,,2ตัวล่าง,77,77,90,0,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,foreign_stock,จีนรอบเช้า,,3ตัวบน,322,322,750,0,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,foreign_stock,นิเคอิรอบบ่าย,,2ตัวล่าง,xx,,90,1,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,foreign_stock,นิเคอิรอบบ่าย,,3ตัวบน,xxx,,750,1,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,foreign_stock,นิเคอิรอบเช้า,,2ตัวล่าง,35,35,90,0,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,foreign_stock,นิเคอิรอบเช้า,,3ตัวบน,959,959,750,0,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,foreign_stock,หวยมาเลย์,,2ตัวล่าง,xx,,90,1,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,foreign_stock,หวยมาเลย์,,3ตัวบน,xxx,,750,1,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,foreign_stock,หวยลาว,,2ตัวล่าง,xx,,90,1,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,foreign_stock,หวยลาว,,3ตัวบน,xxx,,750,1,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,foreign_stock,หวยลาว Super,,2ตัวล่าง,xx,,90,1,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,foreign_stock,หวยลาว Super,,3ตัวบน,xxx,,750,1,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,foreign_stock,หวยเวียดนาม/ฮานอย,,2ตัวล่าง,xx,,90,1,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,foreign_stock,หวยเวียดนาม/ฮานอย,,3ตัวบน,xxx,,750,1,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,foreign_stock,หวยเวียดนาม/ฮานอย VIP,,2ตัวล่าง,xx,,90,1,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,foreign_stock,หวยเวียดนาม/ฮานอย VIP,,3ตัวบน,xxx,,750,1,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,foreign_stock,หวยเวียดนาม/ฮานอยพิเศษ,,2ตัวล่าง,xx,,90,1,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,foreign_stock,หวยเวียดนาม/ฮานอยพิเศษ,,3ตัวบน,xxx,,750,1,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,foreign_stock,หุ้นดาวโจนส์,,2ตัวล่าง,xx,,90,1,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,foreign_stock,หุ้นดาวโจนส์,,3ตัวบน,xxx,,750,1,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,foreign_stock,หุ้นรัสเซีย,,2ตัวล่าง,xx,,90,1,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,foreign_stock,หุ้นรัสเซีย,,3ตัวบน,xxx,,750,1,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
16 April 2026,foreign_stock,หุ้นสิงคโปร์,,2ตัวล่าง,xx,,90,1,https://www.ruay.org/login,2026-04-16T11:56:35+07:00
